tld,country_code,url_length,path_rest_length,num_spcs_chars,domain_entropy,domain_age,created_year,updated_year,expires_year,word_count,tld_in_path_rest,Label
org,-1,98,84,0,3.03,-1,-1,-1,-1,6,0,bad
com,-1,70,57,0,3.19,-1,-1,-1,-1,1,0,bad
ru,-1,77,60,0,3.2,-1,-1,-1,-1,4,3,bad
com,-1,70,57,0,3.19,-1,-1,-1,-1,1,0,bad
net,-1,203,163,0,4.38,-1,-1,-1,-1,4,0,bad
com,-1,74,61,0,3.19,-1,-1,-1,-1,1,0,bad
com,-1,100,87,0,3.19,-1,-1,-1,-1,5,0,bad
com,-1,70,57,0,3.19,-1,-1,-1,-1,1,0,bad
ie,-1,163,146,0,3.28,-1,2011,2022,2023,2,0,bad
net,-1,209,163,0,4.49,-1,-1,-1,-1,4,0,bad
net,-1,211,163,0,4.32,-1,-1,-1,-1,4,0,bad
com,-1,55,19,0,3.88,-1,-1,-1,-1,4,1,bad
com,-1,62,25,0,3.85,-1,-1,-1,-1,4,1,bad
ru,-1,77,60,0,3.2,-1,-1,-1,-1,4,3,bad
ru,-1,77,60,0,3.2,-1,-1,-1,-1,4,3,bad
com,US,23,6,0,3.33,8049,2001,2022,2028,0,0,good
com,US,31,18,0,2.86,10314,1995,2020,2030,0,1,good
com,CA,34,18,0,3.46,9213,1998,2023,2024,2,0,good
com,US,24,8,0,3.32,10094,1995,2021,2026,0,0,good
net,US,26,8,0,3.18,8703,1999,2022,2023,0,0,good
cc,US,28,16,0,2.48,8715,1999,2022,2023,0,1,good
com,US,30,14,0,3.01,9145,1998,2022,2027,0,1,good
net,-1,17,6,0,2.92,8358,2000,2022,2023,0,0,good
com,US,41,27,0,3.03,13401,1986,2023,2024,2,0,good
com,AU,30,7,0,3.54,8970,1999,2023,2032,0,0,good
net,US,20,4,0,3.14,6793,2004,2022,2023,0,0,good
com,US,62,40,0,3.63,9899,1996,2023,2024,0,1,good
com,US,58,31,0,3.84,8903,1999,2022,2024,0,0,good
com,US,47,25,0,3.59,10417,1995,2023,2024,0,0,good
com,US,30,9,0,3.58,8557,2000,2023,2024,0,0,good
net,IS,51,27,0,3.62,1405,2019,2022,2023,0,1,good
com,US,101,78,0,3.79,8903,1999,2022,2024,0,0,good
com,CA,59,45,0,2.87,10213,1995,2023,2024,0,1,good
com,US,48,26,0,3.59,10417,1995,2023,2024,0,0,good
com,TW,29,15,0,3.18,10539,1994,2022,2023,0,0,good
com,-1,30,13,0,3.45,9109,1998,2022,2023,0,0,good
com,US,35,18,0,3.38,10417,1995,2023,2024,0,0,good
com,IS,47,27,0,3.43,7549,2002,2019,2023,0,0,good
com,US,53,34,0,3.57,9155,1998,2022,2024,1,0,good
com,-1,52,21,0,3.56,-1,-1,-1,-1,1,2,bad
org,US,23,5,0,3.5,8267,2000,2023,2024,0,0,good
com,US,28,15,0,2.86,9065,1998,2021,2025,0,0,good
se,-1,43,27,0,3.01,-1,-1,-1,-1,0,1,good
com,US,20,5,0,3.52,8581,2000,2023,2025,0,0,good
org,US,34,15,0,3.04,9363,1997,2021,2023,0,1,good
net,US,59,29,0,3.91,8754,1999,2020,2024,0,2,good
org,DE,32,11,0,3.65,9680,1997,2023,2024,0,0,good
com,US,38,25,0,2.86,9065,1998,2021,2025,0,1,good
net,-1,30,9,0,3.45,-1,-1,-1,-1,0,1,good
org,US,30,15,0,3.24,9488,1997,2023,2026,0,0,good
com,FR,71,50,0,3.58,9234,1998,2023,2024,1,2,good
com,US,34,11,0,3.41,9229,1998,2023,2024,0,0,good
com,US,31,12,0,3.46,10283,1995,2021,2030,0,1,good
com,US,32,12,0,3.37,8769,1999,2020,2024,0,0,good
com,JP,27,13,0,3.03,11864,1991,2023,2024,0,1,good
com,DE,33,15,0,3.73,8558,2000,2018,2024,0,0,good
com,GE,29,10,0,3.13,8639,1999,2023,2023,0,1,good
se,-1,24,8,0,3.19,-1,-1,-1,-1,0,0,good
net,US,48,34,0,3.18,9256,1998,2023,2025,0,1,good
au,-1,30,16,0,3.03,-1,-1,2023,-1,0,1,good
com,US,48,36,0,2.66,13644,1986,2023,2024,0,0,good
com,US,21,7,0,3.03,8339,2000,2022,2026,0,0,good
com,US,37,14,0,3.48,8816,1999,2023,2024,0,0,good
com,US,31,12,0,3.46,10528,1994,2022,2023,0,1,good
uk,-1,30,5,0,3.72,-1,-1,-1,-1,0,0,good
com,US,30,14,0,3.32,8170,2001,2023,2024,0,0,good
com,US,27,9,0,3.06,9432,1997,2022,2023,0,0,good
com,-1,36,14,0,3.46,8253,2000,2020,2023,0,0,good
com,UA,25,11,0,3.03,9361,1997,2022,2025,0,1,good
nz,-1,22,7,0,3.38,8448,2000,2023,-1,0,0,good
com,US,31,9,0,3.69,8590,2000,2023,2024,0,0,good
com,IS,40,21,0,3.35,8205,2001,2023,2024,2,1,bad
ir,-1,38,18,0,3.47,-1,-1,-1,-1,1,1,bad
ir,-1,39,19,0,3.47,-1,-1,-1,-1,1,1,bad
biz,-1,116,106,0,2.73,-1,-1,-1,-1,3,0,bad
com,-1,44,23,0,3.65,-1,-1,-1,-1,2,0,bad
net,-1,119,103,0,3.51,-1,-1,-1,-1,3,3,bad
tk,-1,73,36,0,3.92,-1,-1,-1,-1,0,1,bad
org,-1,75,61,0,3.03,-1,-1,-1,-1,1,0,bad
com,CW,31,16,0,3.66,9042,1998,2022,2031,1,0,bad
com,-1,45,12,0,3.94,-1,-1,-1,-1,1,0,bad
biz,-1,65,53,0,3.1,-1,-1,-1,-1,1,0,bad
biz,-1,71,59,0,3.1,-1,-1,-1,-1,4,0,bad
biz,-1,61,49,0,3.1,-1,-1,-1,-1,1,0,bad
biz,-1,75,63,0,3.1,-1,-1,-1,-1,4,0,bad
biz,-1,73,61,0,3.1,-1,-1,-1,-1,1,0,bad
biz,-1,79,67,0,3.1,-1,-1,-1,-1,4,0,bad
biz,-1,83,71,0,3.1,-1,-1,-1,-1,4,0,bad
biz,-1,61,49,0,3.1,-1,-1,-1,-1,1,0,bad
biz,-1,67,55,0,3.1,-1,-1,-1,-1,4,0,bad
biz,-1,69,57,0,3.1,-1,-1,-1,-1,1,0,bad
biz,-1,77,65,0,3.1,-1,-1,-1,-1,1,0,bad
biz,-1,73,61,0,3.1,-1,-1,-1,-1,1,0,bad
biz,-1,79,67,0,3.1,-1,-1,-1,-1,4,0,bad
biz,-1,73,61,0,3.1,-1,-1,-1,-1,1,0,bad
biz,-1,79,67,0,3.1,-1,-1,-1,-1,4,0,bad
biz,-1,75,63,0,3.1,-1,-1,-1,-1,4,0,bad
biz,-1,73,61,0,3.1,-1,-1,-1,-1,1,0,bad
biz,-1,79,67,0,3.1,-1,-1,-1,-1,4,0,bad
biz,-1,81,69,0,3.1,-1,-1,-1,-1,5,0,bad
biz,-1,67,55,0,3.1,-1,-1,-1,-1,4,0,bad
biz,-1,69,57,0,3.1,-1,-1,-1,-1,1,0,bad
biz,-1,75,63,0,3.1,-1,-1,-1,-1,4,0,bad
com,-1,139,18,0,4.58,-1,-1,-1,-1,7,0,bad
biz,-1,69,57,0,3.1,-1,-1,-1,-1,1,0,bad
ru,-1,77,60,0,3.2,-1,-1,-1,-1,4,3,bad
au,-1,117,95,0,3.59,-1,-1,-1,-1,4,2,bad
au,-1,106,84,0,3.59,-1,-1,-1,-1,3,1,bad
au,-1,105,83,0,3.59,-1,-1,-1,-1,3,1,bad
in,IN,23,11,0,2.85,5155,2009,2023,2028,1,1,bad
ng,-1,56,38,0,3.29,-1,-1,-1,-1,1,0,bad
hu,-1,65,39,0,3.78,3441,2014,-1,-1,1,1,bad
com,CN,42,25,0,3.45,264,2022,2022,2023,0,0,bad
ir,-1,39,19,0,3.47,-1,-1,-1,-1,1,1,bad
ru,-1,20,0,0,3.68,6858,2004,-1,2023,0,0,bad
ru,-1,26,8,0,3.5,6858,2004,-1,2023,0,0,bad
pl,-1,25,15,0,3.17,-1,-1,-1,-1,1,1,bad
biz,-1,71,59,0,3.1,-1,-1,-1,-1,4,0,bad
pl,-1,20,10,0,2.95,-1,-1,-1,-1,1,0,bad
com,-1,30,16,0,3.55,-1,-1,-1,-1,1,0,bad
com,-1,29,15,0,3.55,-1,-1,-1,-1,1,0,bad
com,-1,39,20,0,3.46,-1,-1,-1,-1,1,1,bad
com,GB,100,79,0,3.62,9800,1996,2022,2026,10,4,bad
ir,-1,25,12,0,3.02,-1,-1,-1,-1,1,1,bad
name,-1,36,20,0,3.64,-1,-1,-1,-1,0,2,bad
ua,-1,46,24,0,3.56,-1,-1,-1,-1,2,3,bad
nl,-1,51,29,0,3.59,-1,-1,-1,-1,1,2,bad
net,-1,30,10,0,3.62,-1,-1,-1,-1,0,0,bad
net,CZ,146,121,0,3.94,2396,2016,2022,2023,10,0,bad
np,-1,32,13,0,3.61,19559,1970,2001,-1,1,0,bad
com,US,118,104,0,3.39,2213,2017,2023,2024,3,3,bad
com,DE,110,93,0,3.33,6325,2006,2023,2023,5,2,bad
net,-1,18,0,0,3.18,-1,-1,-1,-1,0,0,bad
pl,-1,21,0,0,3.31,-1,-1,-1,-1,1,0,bad
com,FR,27,0,0,3.8,10009,1996,2022,2024,0,0,bad
org,CA,20,11,0,2.16,5076,2009,2022,2023,0,0,bad
com,LT,24,0,0,3.62,6092,2006,2023,2023,0,0,bad
com,CA,19,0,0,3.28,6389,2006,2022,2024,1,0,bad
pl,-1,22,0,0,3.78,-1,-1,-1,-1,1,0,bad
ro,-1,22,0,0,3.69,6525,2005,-1,2024,1,0,bad
com,FR,27,0,0,3.61,10009,1996,2022,2024,0,0,bad
hu,-1,19,0,0,3.46,7349,2003,-1,-1,1,0,bad
ru,-1,24,0,0,3.82,-1,-1,-1,-1,1,0,bad
com,US,106,87,0,3.68,4216,2012,2022,2024,2,0,bad
su,-1,25,0,0,3.61,6094,2006,-1,2023,1,0,bad
com,-1,30,0,0,3.55,-1,-1,-1,-1,1,0,bad
com,-1,66,25,0,3.78,-1,-1,-1,-1,5,1,bad
com,-1,17,0,0,2.95,-1,-1,-1,-1,0,0,bad
com,PK,40,24,0,3.46,4929,2010,2010,2024,1,1,bad
fr,-1,26,11,0,3.38,-1,-1,-1,-1,1,0,bad
net,GB,50,32,0,3.29,5062,2009,2023,2023,1,0,bad
org,-1,221,198,0,3.57,-1,-1,-1,-1,4,0,bad
kz,RU,37,24,0,3.42,2152,2017,2017,-1,1,0,bad
com,-1,23,0,0,3.85,-1,-1,-1,-1,1,0,bad
com,-1,35,0,0,4.14,-1,-1,-1,-1,1,0,bad
com,-1,36,0,0,4.11,-1,-1,-1,-1,1,0,bad
com,-1,105,83,0,3.75,-1,-1,-1,-1,3,1,bad
com,-1,51,29,0,3.75,-1,-1,-1,-1,1,0,bad
com,-1,78,61,7,3.45,-1,-1,-1,-1,0,0,bad
com,-1,32,11,0,3.31,-1,-1,-1,-1,1,1,bad
com,-1,18,0,0,3.26,-1,-1,-1,-1,0,0,bad
net,CZ,134,109,0,3.94,2396,2016,2022,2023,7,0,bad
com,-1,36,19,0,2.98,-1,-1,-1,-1,0,1,bad
com,-1,60,31,0,3.74,-1,-1,-1,-1,1,2,bad
com,IS,48,21,0,4.06,7688,2002,2023,2024,2,2,bad
com,-1,133,102,0,3.87,-1,-1,-1,-1,17,2,bad
org,US,29,14,0,3.04,874,2021,2023,2025,1,0,bad
org,US,39,24,0,3.04,874,2021,2023,2025,1,1,bad
ng,US,22,0,0,3.56,4432,2011,2023,2024,0,0,bad
ca,-1,43,24,0,3.57,927,2021,2022,2024,2,1,bad
br,-1,184,160,0,3.64,-1,-1,-1,-1,2,1,bad
org,-1,11,0,0,2.92,-1,-1,-1,-1,0,0,bad
com,-1,121,90,0,3.87,-1,-1,-1,-1,14,2,bad
au,-1,45,24,0,3.22,-1,-1,-1,-1,1,1,bad
ru,-1,77,60,0,3.2,-1,-1,-1,-1,4,3,bad
net,-1,139,113,5,4.02,-1,-1,-1,-1,4,0,bad
com,-1,46,24,0,3.69,-1,-1,-1,-1,1,2,bad
com,-1,33,18,0,3.38,-1,-1,-1,-1,0,0,bad
ir,-1,38,18,0,3.47,-1,-1,-1,-1,1,1,bad
ir,-1,38,18,0,3.47,-1,-1,-1,-1,1,1,bad
ir,-1,38,18,0,3.47,-1,-1,-1,-1,1,1,bad
ir,-1,38,18,0,3.47,-1,-1,-1,-1,1,1,bad
ru,-1,34,20,0,3.7,-1,-1,-1,-1,1,1,bad
net,-1,37,16,0,3.78,-1,-1,-1,-1,0,0,bad
com,IN,66,47,0,3.46,4057,2012,2022,2027,1,0,bad
com,-1,49,23,0,3.59,-1,-1,-1,-1,1,2,bad
net,-1,16,0,0,3.64,-1,-1,-1,-1,0,0,bad
org,US,36,20,0,3.51,4942,2010,2023,2024,0,2,bad
org,US,123,107,0,3.51,4942,2010,2023,2024,3,2,bad
com,-1,57,36,0,3.78,-1,-1,-1,-1,2,0,bad
br,-1,45,25,0,3.43,-1,-1,-1,-1,0,1,bad
org,-1,99,79,0,3.58,-1,-1,-1,-1,5,1,bad
ru,-1,35,21,0,3.7,-1,-1,-1,-1,1,1,bad
net,-1,32,6,0,3.73,-1,-1,-1,-1,1,1,bad
com,-1,14,0,0,2.82,-1,-1,-1,-1,0,0,bad
com,-1,163,146,1,3.45,-1,-1,-1,-1,4,2,bad
com,-1,62,25,0,3.84,-1,-1,-1,-1,4,1,bad
pl,-1,42,30,0,3.28,-1,-1,-1,-1,3,1,bad
org,CA,73,58,0,3.32,4795,2010,2023,2024,2,2,bad
ru,-1,147,130,0,3.45,178,2023,-1,2024,6,7,bad
uk,-1,99,82,0,3.28,-1,-1,-1,-1,6,2,bad
uk,-1,143,126,0,3.28,-1,-1,-1,-1,8,4,bad
uk,-1,143,126,0,3.28,-1,-1,-1,-1,7,4,bad
uk,-1,134,117,0,3.28,-1,-1,-1,-1,7,4,bad
uk,-1,58,41,0,3.28,-1,-1,-1,-1,4,0,bad
uk,-1,109,92,0,3.28,-1,-1,-1,-1,6,2,bad
uk,-1,100,83,0,3.28,-1,-1,-1,-1,6,2,bad
ly,US,13,6,0,2.58,5542,2008,2022,2032,1,0,bad
com,NL,39,24,0,3.52,49,2023,2023,2024,2,0,bad
ru,-1,52,38,0,2.87,-1,-1,-1,-1,4,0,bad
pl,-1,81,61,0,3.43,3085,2015,2023,2024,7,0,bad
br,-1,77,55,0,3.4,8473,2000,2023,2025,3,1,bad
com,-1,54,27,0,3.54,-1,-1,-1,-1,0,0,bad
com,-1,57,45,0,3.28,-1,-1,-1,-1,1,0,bad
com,-1,135,119,0,3.32,-1,-1,-1,-1,4,0,bad
com,-1,65,53,0,3.28,-1,-1,-1,-1,1,0,bad
jp,-1,28,13,0,3.38,6650,2005,2023,2024,1,1,bad
com,-1,67,26,0,3.78,-1,-1,-1,-1,5,1,bad
com,-1,50,20,0,3.92,-1,-1,-1,-1,3,1,bad
bi,-1,28,0,0,3.51,-1,-1,-1,-1,1,0,bad
it,-1,63,37,0,3.73,-1,-1,-1,-1,1,0,bad
br,-1,34,10,0,3.59,-1,-1,-1,-1,1,0,bad
com,US,31,13,0,3.45,7951,2001,2023,2023,0,1,good
com,IS,54,36,0,3.29,10206,1995,2020,2030,0,0,good
com,US,47,33,0,3.03,13401,1986,2023,2024,1,1,good
de,-1,30,16,0,2.87,-1,-1,2023,-1,0,0,good
es,ES,46,29,0,3.2,19565,1970,2005,-1,1,1,good
com,-1,36,16,0,3.33,9093,1998,2022,2032,0,1,good
