subdomain,domain,tld,path_rest,url_length,path_rest_length,num_spcs_chars,domain_entropy,domain_age,created_year,updated_year,expires_year,country_code
com,www.moderator.mfbiz.com,com,,24,0,0,3.6096684774198886,265.0,2022,2023,2024,US
com,tibia-community.galeon.com,com,?,28,1,0,3.767183467891461,9329.0,1998,2023,2024,IS
com,ninja-saga.blogspot.com,com,,24,0,0,3.7622673906514943,,,,,
org,so7ba7elwa.ibda3.org,org,,21,0,0,3.6841837197791887,1454.0,2019,2023,2024,US
com,mundovirtualhabbo.blogspot.com,com,2009_01_01_archive.html,54,23,0,3.9614063297218425,,,,,
com,rs-rapidshare.galeon.com,com,?,26,1,0,3.8553885422075345,9329.0,1998,2023,2024,IS
com,kingfgta.blogspot.com,com,,22,0,0,3.748994803525096,,,,,
com,1dream.yoo7.com,com,,16,0,0,3.3232314287976203,6197.0,2006,2022,2027,US
pl,www.tibia-comlogin.za.pl,pl,?,26,1,0,3.740601562950723,,,,,
com,havvotaku.blogspot.com,com,,23,0,0,3.732158891364569,,,,,
com,tibia-community.galeon.com,com,,27,0,0,3.767183467891461,9329.0,1998,2023,2024,IS
com,tibiawinnerstibia.galeon.com,com,,29,0,0,3.695947226387471,9329.0,1998,2023,2024,IS
com,tibialottery.galeon.com,com,,24,0,0,3.675310868912364,9329.0,1998,2023,2024,IS
com,tibiapacc.galeon.com,com,,21,0,0,3.546439344671015,9329.0,1998,2023,2024,IS
com,comuniti.galeon.com,com,,20,0,0,3.471354487013928,9329.0,1998,2023,2024,IS
tl,www.habbocastro.es.tl,tl,entrada-a-habbohotel-.-es.htm,51,29,0,3.463280517810811,6008.0,2007,2023,2024,DE
tl,habbodefede.es.tl,tl,entra-a-habbo.htm,35,17,0,3.263933429485634,6008.0,2007,2023,2024,DE
com,friendsterweb.blogspot.com,com,,27,0,0,3.9500637564362098,,,,,
su,www2.bank0famerica.com.zc09.mail15.su,su,secure_membin_BankOfAmeri_caemail_id43432gjg98987ihgwq72k9878e.htm,104,66,0,4.185823555333621,179.0,2023,,2024,
su,www3.bank0famerica.com.xz09.mail15.su,su,secure_membin_BankOfAmeri_caemail_id43432gjg98987ihgwq72k9878e.htm?securelogin=yes?ssl_encryptlink=yes&amp;source=bankofamericaEMAILdefaultaspx?refererident=341348B3767313d1683678CADD124HJ8S748FGHHJC1AjkCB&amp;cookieid=43562714&amp;nocachelocal,282,244,0,4.260279974311012,179.0,2023,,2024,
com,habbomaravilloso.galeon.com,com,,28,0,0,3.6302753548819777,9329.0,1998,2023,2024,IS
com,habbo-comando.galeon.com,com,,25,0,0,3.486440501696145,9329.0,1998,2023,2024,IS
com,habbo-3d-beta.galeon.com,com,,25,0,0,3.740601562950723,9329.0,1998,2023,2024,IS
tl,moises854-todo.es.tl,tl,habbo-.-es.htm,35,14,0,3.546439344671015,6008.0,2007,2023,2024,DE
pl,www.blacklist-30-tibia.yoyo.pl,pl,?,32,1,0,3.8729055953200557,,,,,
pl,www.tibians-com.yoyo.pl,pl,,24,0,0,3.7294461949052566,,,,,
pl,rinnaroc.w.interia.pl,pl,free-eq.html,34,12,0,3.391386469985718,,,,,
com,porcpays.com,com,cppr/extranet/doc/update.htm,41,28,0,3.0849625007211556,8657.0,1999,2022,2023,FR
pl,bla9999.w.interia.pl,pl,gm[1].txt,30,9,0,3.384183719779189,,,,,
com,blockedchecker.com,com,,19,0,0,3.239097917988786,,,,,
pl,mondziks.w.interia.pl,pl,?,23,1,0,3.8442328987631913,,,,,
pl,www.tibialottery.friko.pl,pl,,26,0,0,3.6430741894285688,,,,,
pl,www.megaweraz.yoyo.pl,pl,login.php,31,9,0,3.4039894464852614,,,,,
pl,www.8hfreepacc.za.pl,pl,,21,0,0,3.4464393446710146,,,,,
pl,www.gildiabestofblood.za.pl,pl,,28,0,0,3.7541634277688813,,,,,
pl,www.tibia-update.za.pl,pl,logowanie.html,37,14,0,3.538310595615005,,,,,
pl,www.tibiacommunit1y.za.pl,pl,,26,0,0,3.833269689515107,,,,,
pl,www.tibishfreestuff.za.pl,pl,,26,0,0,3.753269689515107,,,,,
pl,www.loteryoftibia.yoyo.pl,pl,,26,0,0,3.513269689515108,,,,,
pl,www.goraltibia.yoyo.pl,pl,,23,0,0,3.447401504705915,,,,,
pl,www.swieci.w8w.pl,pl,,18,0,0,2.7777768114567865,,,,,
pl,ala.konik.w.interia.pl,pl,Formularzdotibi.html,43,20,0,3.390805482076981,,,,,
pl,tibiapa.w.interia.pl,pl,,21,0,0,3.2464393446710154,,,,,
pl,headhunter2222.w.interia.pl,pl,,28,0,0,3.6619328723735824,,,,,
pl,good_guild.w.interia.pl,pl,,24,0,0,3.7622673906514947,,,,,
pl,dj8.fm.interia.pl,pl,,18,0,0,3.6901165175936654,,,,,
pl,michnik.16.w.interia.pl,pl,index22.html,36,12,0,3.7409532604048397,,,,,
pl,cipsoftitems.w.interia.pl,pl,cipsoftpacc.html,42,16,0,3.7034651896016464,,,,,
org,www.katsugawa.netfast.org,org,yoko/lovegril.htm?d=www.megaupload.com/?d=5AECQEYG,76,50,0,3.463465189601646,6276.0,2006,2023,2024,US
com,www.palimpalem.com,com,3/COMUNIDAD/body2.html,41,22,0,3.197159723424149,6871.0,2004,2023,2023,ES
com,aimfreegamedownload.007gb.com,com,,30,0,0,3.926272374139508,5555.0,2008,2023,2024,DE
pl,www.qwert93.koon.pl,pl,,20,0,0,3.471354487013928,,,,,
pl,www.metinek.yoyo.pl,pl,,20,0,0,3.43162356584743,,,,,
pl,www.tibia-nooblist.w8w.pl,pl,community_banner.php,46,20,0,3.479079570624174,,,,,
pl,www.rspobierz.yoyo.pl,pl,login.php,31,9,0,3.427333493898264,,,,,
pl,makary997.w.interia.pl,pl,?,24,1,0,3.7544418457133446,,,,,
pl,dayofglory.eu.interia.pl,pl,?,26,1,0,3.8035088547976788,,,,,
pl,lotterytibia.eu.interia.pl,pl,tibialottery.html?,45,18,0,3.488525294897748,,,,,
cc,mail.jiaoban.cc,cc,,16,0,0,3.189898095464287,5757.0,2007,2015,2023,CN
pl,www.tibiablacklistsoft.za.pl,pl,,29,0,0,3.6455933144511468,,,,,
pl,www.tibiavote.za.pl,pl,,20,0,0,3.4316235658474294,,,,,
com,banwangmai.com,com,css/index.php,28,13,0,3.182005814760214,,,,,
com,www.mikuharuno.iamspace.com,com,jav/girl.htm?to=www.megaupload.com/?d=2RJ1X53P,74,46,0,3.754163427768882,5296.0,2009,2022,2024,US
pl,www.tibiaknight.za.pl,pl,,22,0,0,3.522571589136359,,,,,
