URL,subdomain,domain,tld,path_rest,url_length,path_rest_length,num_spcs_chars,domain_entropy,domain_age,created_year,updated_year,expires_year,country_code,Label
ztipptops.org/pCntrlde/webscr.php?cmd_=session.start&amp;sdr01=aG1id2FyZW5oYW5kZWxAdC1vbmxpbmUuZGU,org,ztipptops.org,org,pCntrlde/webscr.php?cmd_=session.start&amp;sdr01=aG1id2FyZW5oYW5kZWxAdC1vbmxpbmUuZGU,98.0,84.0,0.0,3.0269868333592878,,,,,,bad
krotzons.com/aG9tb3RoLmhub0B0LW9ubGluZS5kZQ==/DEsdR/cgi1unpqbe72Txhgla,com,krotzons.com,com,aG9tb3RoLmhub0B0LW9ubGluZS5kZQ==/DEsdR/cgi1unpqbe72Txhgla,70.0,57.0,0.0,3.188721875540867,,,,,,bad
www.gorconsul.ru/plugins/paypal.com/webscr/m/e/q/p/z/x/j/id=102041/index.html,ru,www.gorconsul.ru,ru,plugins/paypal.com/webscr/m/e/q/p/z/x/j/id=102041/index.html,77.0,60.0,0.0,3.202819531114783,,,,,,bad
krotzons.com/am9iYWJlcm5lckB0LW9ubGluZS5kZQ==/DEsdR/cgiq5pdalc1gr3hu8f,com,krotzons.com,com,am9iYWJlcm5lckB0LW9ubGluZS5kZQ==/DEsdR/cgiq5pdalc1gr3hu8f,70.0,57.0,0.0,3.188721875540867,,,,,,bad
paypal.us.xn-----vldfgifeq7dua2hckj.net/webscr.php?cmd=_login-run&dispatch=5885d80a13c0db1f1ff80d546411d7f8a8350c132bc41e0934cfc023d4e8f9e50b902c61442099354f80b882854c19de0b902c61442099354f80b882854c19de,net,paypal.us.xn-----vldfgifeq7dua2hckj.net,net,webscr.php?cmd=_login-run&dispatch=5885d80a13c0db1f1ff80d546411d7f8a8350c132bc41e0934cfc023d4e8f9e50b902c61442099354f80b882854c19de0b902c61442099354f80b882854c19de,203.0,163.0,0.0,4.384904386073434,,,,,,bad
krotzons.com/am9hY2hpbXNjaHdhcnpAdC1vbmxpbmUuZGU=/DEsdR/cgi2yajfh9r6xu854k,com,krotzons.com,com,am9hY2hpbXNjaHdhcnpAdC1vbmxpbmUuZGU=/DEsdR/cgi2yajfh9r6xu854k,74.0,61.0,0.0,3.188721875540867,,,,,,bad
krotzons.com/pCntrlde/webscr.php?cmd_=session.start&sdr01=am9iYWJlcm5lckB0LW9ubGluZS5kZQ=Message-ID:,com,krotzons.com,com,pCntrlde/webscr.php?cmd_=session.start&sdr01=am9iYWJlcm5lckB0LW9ubGluZS5kZQ=Message-ID:,100.0,87.0,0.0,3.188721875540867,,,,,,bad
krotzons.com/ai12ZXJob2V2ZW5AdC1vbmxpbmUuZGU=/DEsdR/cgisac56vrTneljkf8,com,krotzons.com,com,ai12ZXJob2V2ZW5AdC1vbmxpbmUuZGU=/DEsdR/cgisac56vrTneljkf8,70.0,57.0,0.0,3.188721875540867,,,,,,bad
www.rusticoil.ie/cache/RBMC8Qg1BHav4pYFzembFoENcG1gf3H4PaiYU4haol/cmThkRqcUe5qBbIUMLTMUxjVXHuoiRBMC8Qg1BHav4pYFzembFoENcG1gf3H4PaiYU4h/Verify/securedpage/index.htm,ie,www.rusticoil.ie,ie,cache/RBMC8Qg1BHav4pYFzembFoENcG1gf3H4PaiYU4haol/cmThkRqcUe5qBbIUMLTMUxjVXHuoiRBMC8Qg1BHav4pYFzembFoENcG1gf3H4PaiYU4h/Verify/securedpage/index.htm,163.0,146.0,0.0,3.2806390622295662,,2011,2022,2023,,bad
vvww.paypal.com.xn-----vldfgifeq7dua2hckj.net/webscr.php?cmd=_login-run&dispatch=5885d80a13c0db1f1ff80d546411d7f8a8350c132bc41e0934cfc023d4e8f9e5348f0abb68a0357a8661323d6b2fc2b4348f0abb68a0357a8661323d6b2fc2b4,net,vvww.paypal.com.xn-----vldfgifeq7dua2hckj.net,net,webscr.php?cmd=_login-run&dispatch=5885d80a13c0db1f1ff80d546411d7f8a8350c132bc41e0934cfc023d4e8f9e5348f0abb68a0357a8661323d6b2fc2b4348f0abb68a0357a8661323d6b2fc2b4,209.0,163.0,0.0,4.489199419023812,,,,,,bad
vvvvvv.paypal.com.xn-----vldfgifeq7dua2hckj.net/webscr.php?cmd=_login-run&dispatch=5885d80a13c0db1f1ff80d546411d7f8a8350c132bc41e0934cfc023d4e8f9e5de18f1c65e75492761cbf96927fedbefde18f1c65e75492761cbf96927fedbef,net,vvvvvv.paypal.com.xn-----vldfgifeq7dua2hckj.net,net,webscr.php?cmd=_login-run&dispatch=5885d80a13c0db1f1ff80d546411d7f8a8350c132bc41e0934cfc023d4e8f9e5de18f1c65e75492761cbf96927fedbefde18f1c65e75492761cbf96927fedbef,211.0,163.0,0.0,4.320205608464797,,,,,,bad
us.battle.net.login.ok.yx-login.com/login/en/login.html,com,us.battle.net.login.ok.yx-login.com,com,login/en/login.html,55.0,19.0,0.0,3.878584802350184,,,,,,bad
secure.runescape.com.ok.yl-login.com/m=weblogin/loginform.html,com,secure.runescape.com.ok.yl-login.com,com,m=weblogin/loginform.html,62.0,25.0,0.0,3.8474349882635113,,,,,,bad
www.gorconsul.ru/plugins/paypal.com/webscr/m/e/q/p/z/x/j/id=102055/index.html,ru,www.gorconsul.ru,ru,plugins/paypal.com/webscr/m/e/q/p/z/x/j/id=102055/index.html,77.0,60.0,0.0,3.202819531114783,,,,,,bad
