URL,subdomain,domain,tld,path_rest,url_length,path_rest_length,num_spcs_chars,domain_entropy,domain_age,created_year,updated_year,expires_year,country_code,Label
paypal.com.cgi-bin.webscr.cmd.login-run.5885d80a13c0db1f8e263663d3wi892ee8dcbdhe788a5.perfectclassified.org/login/aaed41fac949365691b2822928d11142/,org,paypal.com.cgi-bin.webscr.cmd.login-run.5885d80a13c0db1f8e263663d3wi892ee8dcbdhe788a5.perfectclassified.org,org,login/aaed41fac949365691b2822928d11142/,147,39,0,4.6707671036662095,,,,,,bad
www.pelder.heliohost.org/wp-includes/js/jquery/nabisco/index.htm,org,www.pelder.heliohost.org,org,wp-includes/js/jquery/nabisco/index.htm,64,39,0,3.5424812503605785,6714.0,2005,2023,2024,IS,bad
adamchuk.com/im/northrock.htm,com,adamchuk.com,com,im/northrock.htm,29,16,0,3.0849625007211556,,,,,,bad
sambilan.com/wp-includes/css/,com,sambilan.com,com,wp-includes/css/,29,16,0,3.2516291673878226,2323.0,2017,2021,2024,US,bad
'cciampnr.com/car/Carsales\%20Network\%20Seller\%20Engine.htm',com,'cciampnr.com,com,car/Carsales\%20Network\%20Seller\%20Engine.htm',62,48,3,3.180832987205441,,2017,2021,2024,US,bad
robertcraigactive.co.uk/wp-content/plugins/wp-pagenavi/scb/www.visaeurope.fr/,uk,robertcraigactive.co.uk,uk,wp-content/plugins/wp-pagenavi/scb/www.visaeurope.fr/,77,53,0,3.5883543471732335,,,,,,bad
www.udc.an/wp-includes/js/tinymce/themes/advanced/js/frm.htm,an,www.udc.an,an,wp-includes/js/tinymce/themes/advanced/js/frm.htm,60,49,0,2.6464393446710153,,,,,,bad
perpamuaythai.com/N/northrock.htm,com,perpamuaythai.com,com,N/northrock.htm,33,15,0,3.572469458770136,,,,,,bad
ncr.grnnx.com/,com,ncr.grnnx.com,com,,14,0,0,2.873140679513133,,,,,,bad
www.paypal.de.de.cgi-bin.3c0db1f8e263663d3faee8d7283e7f0184a5674430f290db9e9c846.app.goonow.com/de/index.htm,com,www.paypal.de.de.cgi-bin.3c0db1f8e263663d3faee8d7283e7f0184a5674430f290db9e9c846.app.goonow.com,com,de/index.htm,108,12,0,4.543334493646511,6524.0,2005,2021,2024,CN,bad
xfiles.eink.com/dessing/site/secure/your/personal/account/be/more/safe/whit/us/dont/trust/lier/dk/olb/auth/,com,xfiles.eink.com,com,dessing/site/secure/your/personal/account/be/more/safe/whit/us/dont/trust/lier/dk/olb/auth/,107,91,0,3.5068905956085183,9325.0,1998,2021,2025,,bad
us.battle.net.acc.yv-login.com/login/en/login.html?app=wam&ref=www.worldofwarcraft.com/account/&eor=0&app=bam,com,us.battle.net.acc.yv-login.com,com,login/en/login.html?app=wam&ref=www.worldofwarcraft.com/account/&eor=0&app=bam,109,78,0,3.8695767463163935,,,,,,bad
